,Make,OEM Number,MSG Article,Model,Motor,Manufacturer,In stock in RND department,Testing with MS005A,Cable for MS005A,"Voltage, v","Current, A",Protocol
35,"Peugeot
Citroën","9826550280-00
IST60C049
2719953A",,"CITROEN C4 Cactus 14-18
Citroen DS3 09-16
Peugeot 2008 13-18",,VALEO,,Yes,MS-33039,14.0,210.0,LIN2
36,"Peugeot
Citroën",IST60C020,,"CITROEN C4 Cactus 14-18
Citroen DS3 09-16
Peugeot 2008 13-18",,VALEO,,Yes,MS-33039,,,
37,"Peugeot
Citroën",IST60C025,,"CITROEN C4 Cactus 14-18
Citroen DS3 09-16
Peugeot 2008 13-18",,VALEO,,Yes,MS-33039,,,
38,"Peugeot
Citroën",IST60C033,,"CITROEN C4 Cactus 14-18
Citroen DS3 09-16
Peugeot 2008 13-18",,VALEO,,Yes,MS-33039,,,
39,"Peugeot
Citroën",IST60C030,,"CITROEN C4 Cactus 14-18
Citroen DS3 09-16
Peugeot 2008 13-18",,VALEO,,Yes,MS-33039,,,
40,"Peugeot
Citroën",IST60C034,,"CITROEN C4 Cactus 14-18
Citroen DS3 09-16
Peugeot 2008 13-18",,VALEO,,Yes,MS-33039,,,
41,"Peugeot
Citroën",IST60C017,,"Citroen C4 Cactus 14-18
Citroen DS3 09-16
Peugeot 2008 13-18",,VALEO,,Yes,MS-33039,14.0,180.0,LIN1
42,"Peugeot
Citroën","IST60C029
9674646180-04",,"Citroen C4 Cactus 14-18
Citroen DS3 09-16
Peugeot 2008 13-18",,VALEO,1.0,Yes,MS-33039,14.0,180.0,
43,"Peugeot
Citroën",IST60C018,,"Citroen C4 Cactus 14-18
Citroen DS3 09-16
Peugeot 2008 13-18",,VALEO,,Yes,MS-33039,,,
44,"Peugeot
Citroën",IST60C016,,"Citroen C4 Cactus 14-18
Citroen DS3 09-16
Peugeot 2008 13-18",,VALEO,,Yes,MS-33039,,,
45,"Peugeot
Citroën",IST60C024,,"Citroen C4 Cactus 14-18
Citroen DS3 09-16
Peugeot 2008 13-18",,VALEO,,Yes,MS-33039,,,
46,"Peugeot
Citroën",IST60C048,,"Citroen C4 Cactus 14-18
Citroen DS3 09-16
Peugeot 2008 13-18",,VALEO,,Yes,MS-33039,,,
47,"Peugeot
Citroën",IST60C032,,"Citroen C4 Cactus 14-18
Citroen DS3 09-16
Peugeot 2008 13-18",,VALEO,,Yes,MS-33039,14.0,180.0,LIN2
48,"Peugeot
Citroën",IST60C028,,"Citroen C4 Cactus 14-18
Citroen DS3 09-16
Peugeot 2008 13-18",,VALEO,,Yes,MS-33039,14.0,180.0,LIN1
49,"Peugeot
Citroën",1625944380,,"Citroen C4 Cactus 14-18
Citroen DS3 09-16
Peugeot 2008 13-18",,VALEO,,Yes,,,,
50,RENAULT,"231B19395R
231B10591R
231B13297R
231B19395",,Renault Scenic IV 16-22,1.5DCI 8V,,,No,,,,
51,RENAULT,"212000-0141
231B1578R",,"Renault Arkana EU 21-
Renault Captur 19- 
Renault Clio V 19-",,DENSO,,No,,190.0,75.0,
