Make,MSG SKU,OEM,Part number,Car,Cables and fittings,Protocol
NISSAN,EVAC0014,926003NF0A,"042200-0681
 042200-0683","Leaf AZE0 2012, 2013, 2014, 2015
 e-NV200 2014, 2015, 2016","MS-31003 (3H)
 MS-30003 (3D)
 MS41001-HP
 MS41007-LP
  
 Tools:
 MS40006",LIN
NISSAN,EVAC0018,"926004BC0A
926005SA1A","042400-0010
 042400-0012
 042400-0510","X-Trail 202015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025
 Leaf 202018, 2019, 2020, 2021, 2022, 2023, 2024, 2025","MS-31004 (4H)
 MS-30010 (10D)
 MS41001-HP
 MS41007-LP
  
 Tools:
 MS40006",LIN
MAZDA,"EVAC0095


  New!!!","D30L614C0
DN4J-614C0
","042400-1560
042400-1150
",MX-30,"MS-31021 (21H)
MS-30018 (18D)
MS41001-HP
MS41006-LP
 
Tools:
MS40006",LIN
RENAULT,EVAC0015,"926000134R
926008999R
926002035R

926004760R
926005020R","042200-0671
042200-1540
042200-1490

042200-0520
042200-0672","Kangoo Z.E. 202011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025
 
 
ZoE [2012, 2013, 2014, 2015, 2016, 2017, 2018]
Smart A453
Fluence Z.E.","MS-31003 (3H)
MS-30003 (3D)
MS41001-HP
MS41007-LP
  
Tools:
MS40006",LIN
RENAULT,EVAC0075,926005749R,042200-1560,"ZoE [2019, 2020, 2021, 2022, 2023]",,LIN
RENAULT,EVAC0085,"926002618R
926008231R
926005501R","042400-1400
042400-1412","CAPTUR II (HF_)E-TECH 160
[2020, 2021, 2022, 2023]
 
CLIO V 19-R. 1.6 E-TECH","MS-31018 (18H)
MS-30003 (3D)
MS41001-HP
MS41007-LP
  
Tools:
MS40006",LIN
TESLA,EVAC0011,"6007380-00
6007380-00-C
6007380-00-D","042200-0690
 042200-0691","Tesla Model S [2012, 2013, 2014, 2015, 2016]","MS-31001 (1H)
 MS-30004 (4D)
 MS41001-HP
 MS41006-LP
  
 Tools:
 MS40006",PWM
TESLA,EVAC0023,"1028398-00
 1028398-00-E
 1028398-00-F",,"TESLA Model S 2012, 2013, 2014, 2015","MS-31010 (10H)
 MS-30009 (9D)
 MS41048-HP
 MS41008-LP
 
",CAN
TESLA,EVAC0024,"1042442-00
 1042442-00-D
 1042442-00-G
 1042442-00-H
 1042442-00-J
 1042442-00-K",,"TESLA Model X 2016, 2017, 2018, 2019","MS-31010 (10H)
 MS-30009 (9D)
 MS41048-HP
 MS41008-LP
 
",CAN
TESLA,EVAC0025,"1063369-00
 1063369-00-D
 1063369-00-E
 1063369-00-F
 1063369-00-G",,"TESLA Model S 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025","MS-31010 (10H)
 MS-30009 (9D)
 MS41048-HP
 MS41008-LP
  
",CAN
TESLA,EVAC0026,"1088198-00
1088198-00-J
1088198-00-L
1088198-00-M
1088198-00-N
1088198-00-P
",,"TESLA Model 3 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025","MS-31007 (7H)
MS-30013 (13D)
MS41016-HP
MS41015-LP
  
Tools:
MS40006",CAN
